CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,ANIO,TIPO_DE_DELITO,ID_Categoria,CATEGORIA,INCIDENCIA,POBLACION,TASA
21040,21,040,Cuautinchan,2022,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,12340,0
21040,21,040,Cuautinchan,2023,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,12340,0
21040,21,040,Cuautinchan,2024,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,12340,0
21040,21,040,Cuautinchan,2025,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,12340,0
21041,21,041,Cuautlancingo,2015,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,112225,0
21041,21,041,Cuautlancingo,2016,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,112225,0
21041,21,041,Cuautlancingo,2017,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,112225,0
21041,21,041,Cuautlancingo,2018,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,112225,0
21041,21,041,Cuautlancingo,2019,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,112225,0
21041,21,041,Cuautlancingo,2020,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,1,137435,1.37
21041,21,041,Cuautlancingo,2021,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,137435,0
21041,21,041,Cuautlancingo,2022,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,137435,0
21041,21,041,Cuautlancingo,2023,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,1,137435,1.37
21041,21,041,Cuautlancingo,2024,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,1,137435,1.37
21041,21,041,Cuautlancingo,2025,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,1,137435,1.37
21090,21,090,Juan C. Bonilla,2015,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,21253,0
21090,21,090,Juan C. Bonilla,2016,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,1,21253,0.21
21090,21,090,Juan C. Bonilla,2017,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,1,21253,0.21
21090,21,090,Juan C. Bonilla,2018,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,21253,0
21090,21,090,Juan C. Bonilla,2019,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,21253,0
21090,21,090,Juan C. Bonilla,2020,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,23738,0
21090,21,090,Juan C. Bonilla,2021,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,23738,0
21090,21,090,Juan C. Bonilla,2022,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,23738,0
21090,21,090,Juan C. Bonilla,2023,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,23738,0
21090,21,090,Juan C. Bonilla,2024,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,23738,0
21090,21,090,Juan C. Bonilla,2025,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,23738,0
21106,21,106,Ocoyucan,2015,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,28220,0
21106,21,106,Ocoyucan,2016,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,28220,0
21106,21,106,Ocoyucan,2017,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,28220,0
21106,21,106,Ocoyucan,2018,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,28220,0
21106,21,106,Ocoyucan,2019,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,28220,0
21106,21,106,Ocoyucan,2020,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,1,42669,0.43
21106,21,106,Ocoyucan,2021,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,42669,0
21106,21,106,Ocoyucan,2022,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,42669,0
